Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
55,2.0,0.0,0.0,1022.0,15.0,56.0,2973.0,0.1,37.806999999999995,0.0,0.0,616.3970670700073,,,,,,,,,,,,,,,,,,,,,13.772071806413043,12.664595358545101,37.10994676241894,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1059.0,16.0,37.0,3010.0,0.1,18.20800000000002,0.0,0.0,620.3842887878418,,,,,,,,,,,,,,,,,,,,,5.475038723296599,6.129422184033845,18.041488502755037,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1089.0,17.0,30.0,3040.0,0.1,13.305999999999994,0.0,0.0,623.6417002677917,,,,,,,,,,,,,,,,,,,,,3.865109334588077,4.492868672898148,13.21646643636866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1143.0,18.0,54.0,3094.0,0.1,15.812999999999985,0.0,0.0,629.3363473415375,,,,,,,,,,,,,,,,,,,,,3.43475505258635,4.56172878840041,15.658825218772664,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1225.0,19.0,82.0,3176.0,0.1,38.906000000000006,0.0,0.0,637.5693833827972,,,,,,,,,,,,,,,,,,,,,13.5384037638557,11.482497053665622,37.87155613207185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1264.0,20.0,39.0,3215.0,0.1,21.20700000000002,0.0,0.0,641.7266755104065,,,,,,,,,,,,,,,,,,,,,6.807422574567845,7.176204520105254,20.983456449033476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,68.0,1.0,68.0,3283.0,0.1,37.608,0.0,0.0,947.897280216217,,,,,,,,,,,,,,,,,,,,,13.071545288696568,12.036081507308099,36.79268349467447,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,175.0,2.0,107.0,3390.0,0.1,66.207,0.0,0.0,958.6048736572266,,,,,,,,,,,,,,,,,,,,,27.46670368644571,19.54445483552329,63.39478888853849,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,296.0,3.0,121.0,3511.0,0.1,67.10600000000002,0.0,0.0,970.5793569087982,,,,,,,,,,,,,,,,,,,,,30.13731999184365,18.245089721832233,63.58649368185698,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,429.0,4.0,133.0,3644.0,0.1,95.00599999999989,0.0,0.0,983.7995533943176,,,,,,,,,,,,,,,,,,,,,36.421890141213474,30.283362473837077,90.34248323520576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,566.0,5.0,137.0,3781.0,0.1,85.906,0.0,0.0,997.6870770454407,,,,,,,,,,,,,,,,,,,,,38.67139303453393,23.665651329896058,80.76947733947047,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,651.0,6.0,85.0,3866.0,0.1,31.616000000000064,0.0,0.0,1006.2220137119293,,,,,,,,,,,,,,,,,,,,,12.932177124924026,7.714936166155236,30.57789014678489,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,739.0,7.0,88.0,3954.0,0.1,51.806000000000004,0.0,0.0,1015.0388677120209,,,,,,,,,,,,,,,,,,,,,20.510463677289025,16.320793354187582,50.10123155828356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,776.0,8.0,37.0,3991.0,0.1,17.80600000000002,0.0,0.0,1018.8901705741882,,,,,,,,,,,,,,,,,,,,,5.492547850312514,5.861391417274256,17.638034159823928,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,870.0,9.0,94.0,4085.0,0.1,71.20599999999999,0.0,0.0,1028.3859157562256,,,,,,,,,,,,,,,,,,,,,30.317059190873337,21.762496712793656,68.49311417128632,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,898.0,10.0,28.0,4113.0,0.1,13.105999999999995,0.0,0.0,1031.2374703884125,,,,,,,,,,,,,,,,,,,,,3.9747896639514733,4.49892639640289,13.020734337349724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,964.0,11.0,66.0,4179.0,0.1,46.205999999999996,0.0,0.0,1037.8624114990234,,,,,,,,,,,,,,,,,,,,,17.831676341880588,14.800926325796445,45.11930284782869,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,992.0,12.0,28.0,4207.0,0.1,13.704999999999995,0.0,0.0,1040.9446501731873,,,,,,,,,,,,,,,,,,,,,4.268333849971895,4.728448305319322,13.612698436375105,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
